XCoord,YCoord,OID,FIELD1,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,USERTYPE,BIRTH_YEAR,STARTIME,DURATIOND,DURATIONN
-73.95643107,40.69064950,5823,5823,1237,NULL,NULL,40.690649,-73.956431,Subscriber,1980.000000,2015-06-01 00:00:00,1237.0,0.000000
-73.97703874,40.69327018,5855,5855,268,NULL,NULL,40.693270,-73.977039,Subscriber,1991.000000,2015-06-01 00:00:00,268.0,0.000000
-73.96023854,40.68900443,5879,5879,531,NULL,NULL,40.689004,-73.960239,Subscriber,1989.000000,2015-06-01 00:00:00,531.0,0.000000
-73.97632328,40.68382604,5972,5972,395,NULL,NULL,40.683826,-73.976323,Subscriber,1978.000000,2015-06-01 00:00:00,395.0,0.000000
-73.97703874,40.69327018,5995,5995,245,NULL,NULL,40.693270,-73.977039,Subscriber,1979.000000,2015-06-01 00:00:00,245.0,0.000000
-73.96563307,40.68650065,6045,6045,294,NULL,NULL,40.686501,-73.965633,Subscriber,1968.000000,2015-06-01 00:00:00,294.0,0.000000
-73.97632328,40.68382604,6140,6140,483,NULL,NULL,40.683826,-73.976323,Subscriber,1964.000000,2015-06-01 00:00:00,483.0,0.000000
-73.98912867,40.68926942,6179,6179,409,NULL,NULL,40.689269,-73.989129,Subscriber,1965.000000,2015-06-01 00:00:00,409.0,0.000000
-73.97372990,40.69178230,6255,6255,887,NULL,NULL,40.691782,-73.973730,Subscriber,1986.000000,2015-06-01 00:00:00,887.0,0.000000
-73.99052739,40.69475701,6360,6360,339,NULL,NULL,40.694757,-73.990527,Subscriber,1983.000000,2015-06-01 00:00:00,339.0,0.000000
-73.98912867,40.68926942,6502,6502,574,NULL,NULL,40.689269,-73.989129,Subscriber,1980.000000,2015-06-01 00:00:00,574.0,0.000000
-73.97493121,40.68981035,6686,6686,176,NULL,NULL,40.689810,-73.974931,Subscriber,1942.000000,2015-06-01 00:00:00,176.0,0.000000
-73.98362464,40.69474881,6695,6695,679,NULL,NULL,40.694749,-73.983625,Subscriber,1982.000000,2015-06-01 00:00:00,679.0,0.000000
-73.96024116,40.71534825,6747,6747,1363,NULL,NULL,40.715348,-73.960241,Customer,0.000000,2015-06-01 00:00:00,1363.0,0.000000
-73.96024116,40.71534825,6750,6750,1332,NULL,NULL,40.715348,-73.960241,Customer,0.000000,2015-06-01 00:00:00,1332.0,0.000000
-73.96024116,40.71534825,6753,6753,1329,NULL,NULL,40.715348,-73.960241,Customer,0.000000,2015-06-01 00:00:00,1329.0,0.000000
-73.97703874,40.69327018,6816,6816,1165,NULL,NULL,40.693270,-73.977039,Subscriber,1986.000000,2015-06-01 00:00:00,1165.0,0.000000
-73.96476280,40.68851534,6955,6955,941,NULL,NULL,40.688515,-73.964763,Subscriber,1991.000000,2015-06-01 00:00:00,941.0,0.000000
-73.96024116,40.71534825,7112,7112,1297,NULL,NULL,40.715348,-73.960241,Customer,0.000000,2015-06-01 00:00:00,1297.0,0.000000
-73.96024116,40.71534825,7116,7116,1097,NULL,NULL,40.715348,-73.960241,Customer,0.000000,2015-06-01 00:00:00,1097.0,0.000000
-73.96024116,40.71534825,7124,7124,1274,NULL,NULL,40.715348,-73.960241,Customer,0.000000,2015-06-01 00:00:00,1274.0,0.000000
-73.96023854,40.68900443,7139,7139,1647,NULL,NULL,40.689004,-73.960239,Subscriber,1975.000000,2015-06-01 00:00:00,1647.0,0.000000
-73.96986848,40.69794000,7259,7259,224,NULL,NULL,40.697940,-73.969868,Subscriber,1980.000000,2015-06-01 00:00:00,224.0,0.000000
-73.96087600,40.71045100,7279,7279,771,NULL,NULL,40.710451,-73.960876,Subscriber,1959.000000,2015-06-01 00:00:00,771.0,0.000000
-73.97493121,40.68981035,7343,7343,155,NULL,NULL,40.689810,-73.974931,Subscriber,1965.000000,2015-06-01 00:00:00,155.0,0.000000
-73.95381995,40.69331716,7377,7377,1872,NULL,NULL,40.693317,-73.953820,Subscriber,1976.000000,2015-06-01 00:00:00,1872.0,0.000000
-73.98912867,40.68926942,7462,7462,2928,NULL,NULL,40.689269,-73.989129,Subscriber,1960.000000,2015-06-01 00:00:00,2928.0,0.000000
-73.98362464,40.69474881,7627,7627,434,NULL,NULL,40.694749,-73.983625,Subscriber,1983.000000,2015-06-01 00:00:00,434.0,0.000000
-73.96024116,40.71534825,7641,7641,204,NULL,NULL,40.715348,-73.960241,Subscriber,1980.000000,2015-06-01 00:00:00,204.0,0.000000
-73.97493121,40.68981035,7721,7721,137,NULL,NULL,40.689810,-73.974931,Subscriber,1981.000000,2015-06-01 00:00:00,137.0,0.000000
-73.97703874,40.69327018,7826,7826,186,NULL,NULL,40.693270,-73.977039,Subscriber,1969.000000,2015-06-01 00:00:00,186.0,0.000000
-73.97632328,40.68382604,7964,7964,280,NULL,NULL,40.683826,-73.976323,Subscriber,1968.000000,2015-06-01 00:00:00,280.0,0.000000
-73.97632328,40.68382604,8048,8048,480,NULL,NULL,40.683826,-73.976323,Subscriber,1963.000000,2015-06-01 00:00:00,480.0,0.000000
-73.99052739,40.69475701,8250,8250,288,NULL,NULL,40.694757,-73.990527,Subscriber,1965.000000,2015-06-01 00:00:00,288.0,0.000000
-73.96087600,40.71045100,8260,8260,126,NULL,NULL,40.710451,-73.960876,Subscriber,1983.000000,2015-06-01 00:00:00,126.0,0.000000
-73.97100056,40.70531194,8372,8372,2213,NULL,NULL,40.705312,-73.971001,Subscriber,1984.000000,2015-06-01 00:00:00,2213.0,0.000000
-73.97100056,40.70531194,8590,8590,625,NULL,NULL,40.705312,-73.971001,Subscriber,1969.000000,2015-06-01 00:00:00,625.0,0.000000
-73.97632328,40.68382604,8604,8604,497,NULL,NULL,40.683826,-73.976323,Subscriber,1977.000000,2015-06-01 00:00:00,497.0,0.000000
-73.98912867,40.68926942,8606,8606,969,NULL,NULL,40.689269,-73.989129,Subscriber,1973.000000,2015-06-01 00:00:00,969.0,0.000000
-73.96023854,40.68900443,8647,8647,1008,NULL,NULL,40.689004,-73.960239,Subscriber,1972.000000,2015-06-01 00:00:00,1008.0,0.000000
-73.96023854,40.68900443,8708,8708,269,NULL,NULL,40.689004,-73.960239,Subscriber,1994.000000,2015-06-01 00:00:00,269.0,0.000000
-73.97372990,40.69178230,8775,8775,204,NULL,NULL,40.691782,-73.973730,Subscriber,1963.000000,2015-06-01 00:00:00,204.0,0.000000
-73.97703874,40.69327018,8815,8815,344,NULL,NULL,40.693270,-73.977039,Subscriber,1962.000000,2015-06-01 00:00:00,344.0,0.000000
-73.96476280,40.68851534,8886,8886,441,NULL,NULL,40.688515,-73.964763,Subscriber,1964.000000,2015-06-01 00:00:00,441.0,0.000000
-73.96476280,40.68851534,8959,8959,858,NULL,NULL,40.688515,-73.964763,Subscriber,1969.000000,2015-06-01 00:00:00,858.0,0.000000
-73.96023854,40.68900443,9227,9227,221,NULL,NULL,40.689004,-73.960239,Subscriber,1987.000000,2015-06-01 00:00:00,221.0,0.000000
-73.96408963,40.70853074,9317,9317,262,NULL,NULL,40.708531,-73.964090,Customer,0.000000,2015-06-01 00:00:00,262.0,0.000000
-73.97493121,40.68981035,9587,9587,345,NULL,NULL,40.689810,-73.974931,Subscriber,1983.000000,2015-06-01 00:00:00,345.0,0.000000
-73.99052739,40.69475701,9675,9675,786,NULL,NULL,40.694757,-73.990527,Subscriber,1974.000000,2015-06-01 00:00:00,786.0,0.000000
-73.96087600,40.71045100,9690,9690,394,NULL,NULL,40.710451,-73.960876,Subscriber,1984.000000,2015-06-01 00:00:00,394.0,0.000000
-73.97493121,40.68981035,9702,9702,139,NULL,NULL,40.689810,-73.974931,Subscriber,1989.000000,2015-06-01 00:00:00,139.0,0.000000
-73.96563307,40.68650065,9738,9738,295,NULL,NULL,40.686501,-73.965633,Subscriber,1966.000000,2015-06-01 00:00:00,295.0,0.000000
-73.96476280,40.68851534,10006,10006,254,NULL,NULL,40.688515,-73.964763,Subscriber,1977.000000,2015-06-01 00:00:00,254.0,0.000000
-73.97992700,40.69977300,10068,10068,272,NULL,NULL,40.699773,-73.979927,Subscriber,1986.000000,2015-06-01 00:00:00,272.0,0.000000
-73.97372990,40.69178230,10102,10102,376,NULL,NULL,40.691782,-73.973730,Subscriber,1970.000000,2015-06-01 00:00:00,376.0,0.000000
-73.96087600,40.71045100,10212,10212,722,NULL,NULL,40.710451,-73.960876,Subscriber,1991.000000,2015-06-01 00:00:00,722.0,0.000000
-73.96986848,40.69794000,10303,10303,513,NULL,NULL,40.697940,-73.969868,Subscriber,1978.000000,2015-06-01 00:00:00,513.0,0.000000
-73.97703874,40.69327018,10513,10513,256,NULL,NULL,40.693270,-73.977039,Subscriber,1969.000000,2015-06-01 00:00:00,256.0,0.000000
-73.98362464,40.69474881,10655,10655,437,NULL,NULL,40.694749,-73.983625,Customer,0.000000,2015-06-01 00:00:00,437.0,0.000000
-73.98912867,40.68926942,10729,10729,243,NULL,NULL,40.689269,-73.989129,Subscriber,1989.000000,2015-06-01 00:00:00,243.0,0.000000
-73.98912867,40.68926942,10731,10731,354,NULL,NULL,40.689269,-73.989129,Subscriber,1984.000000,2015-06-01 00:00:00,354.0,0.000000
-73.96563307,40.68650065,10818,10818,2614,NULL,NULL,40.686501,-73.965633,Subscriber,1973.000000,2015-06-01 00:00:00,2614.0,0.000000
-73.96476280,40.68851534,11032,11032,434,NULL,NULL,40.688515,-73.964763,Subscriber,1982.000000,2015-06-01 00:00:00,434.0,0.000000
-73.96986848,40.69794000,11238,11238,358,NULL,NULL,40.697940,-73.969868,Subscriber,1984.000000,2015-06-01 00:00:00,358.0,0.000000
-73.95381995,40.69331716,11405,11405,1385,NULL,NULL,40.693317,-73.953820,Subscriber,1987.000000,2015-06-01 00:00:00,1385.0,0.000000
-73.99548059,40.70037867,11486,11486,223,NULL,NULL,40.700379,-73.995481,Subscriber,1962.000000,2015-06-01 00:00:00,223.0,0.000000
-73.97632328,40.68382604,11549,11549,174,NULL,NULL,40.683826,-73.976323,Subscriber,1983.000000,2015-06-01 00:00:00,174.0,0.000000
-73.99548059,40.70037867,11601,11601,248,NULL,NULL,40.700379,-73.995481,Subscriber,1953.000000,2015-06-01 00:00:00,248.0,0.000000
-73.98912867,40.68926942,11661,11661,366,NULL,NULL,40.689269,-73.989129,Subscriber,1982.000000,2015-06-01 00:00:00,366.0,0.000000
-73.96986848,40.69794000,11750,11750,1353,NULL,NULL,40.697940,-73.969868,Subscriber,1989.000000,2015-06-01 00:00:00,1353.0,0.000000
-73.98912867,40.68926942,11816,11816,531,NULL,NULL,40.689269,-73.989129,Subscriber,1982.000000,2015-06-01 00:00:00,531.0,0.000000
-73.96087600,40.71045100,11982,11982,854,NULL,NULL,40.710451,-73.960876,Customer,0.000000,2015-06-01 00:00:00,854.0,0.000000
-73.96087600,40.71045100,11983,11983,796,NULL,NULL,40.710451,-73.960876,Customer,0.000000,2015-06-01 00:00:00,796.0,0.000000
-73.97493121,40.68981035,12014,12014,901,NULL,NULL,40.689810,-73.974931,Subscriber,1977.000000,2015-06-01 00:00:00,901.0,0.000000
